Champion_a,Overall Ban Rate (%),Champion_b,Blueside Ban Rate (%),Champion_c,Redside Ban Rate (%),Champion_d,Overall Ban Rate Against (%),Champion_e,Blueside Ban Rate Against (%),Champion_f,Redside Ban Rate Against (%)
Rumble,0.48,Senna,0.26,Leona,0.14,Maokai,0.17,Rumble,0.38,Rumble,0.31
Ezreal,0.43,Ezreal,0.24,Zeri,0.14,Leona,0.12,Senna,0.29,Kalista,0.31
Maokai,0.38,Maokai,0.21,Rumble,0.29,Vi,0.1,Azir,0.24,Senna,0.14
Renekton,0.31,Rumble,0.19,Renekton,0.19,Ashe,0.79,Sejuani,0.24,Sejuani,0.14
Leona,0.26,Senna,0.17,Ezreal,0.19,Kalista,0.6,Ashe,0.48,Caitlyn,0.12
