Champion_a,Overall Ban Rate (%),Champion_b,Blueside Ban Rate (%),Champion_c,Redside Ban Rate (%),Champion_d,Overall Ban Rate Against (%),Champion_e,Blueside Ban Rate Against (%),Champion_f,Redside Ban Rate Against (%)
Kalista,0.41,Senna,0.25,Vi,0.09,Vi,0.2,Nidalee,0.41,Rumble,0.27
Rumble,0.34,Ashe,0.14,Lee Sin,0.09,Senna,0.18,Alistar,0.39,KSante,0.16
Vi,0.3,Sejuani,0.11,Rumble,0.34,Yone,0.16,KSante,0.39,Nidalee,0.16
Nautilus,0.27,Kalista,0.11,Kalista,0.3,Tristana,0.61,Rumble,0.36,Maokai,0.14
Sejuani,0.25,LeBlanc,0.11,Nautilus,0.23,Ashe,0.41,Tristana,0.27,Alistar,0.09
