Champion_a,Overall Ban Rate (%),Champion_b,Blueside Ban Rate (%),Champion_c,Redside Ban Rate (%),Champion_d,Overall Ban Rate Against (%),Champion_e,Blueside Ban Rate Against (%),Champion_f,Redside Ban Rate Against (%)
Maokai,0.48,Sejuani,0.23,Ezreal,0.15,Ashe,0.13,Ashe,0.35,Renekton,0.28
Rumble,0.4,Maokai,0.2,Kalista,0.15,Sejuani,0.1,Senna,0.35,Senna,0.18
Kalista,0.35,Ashe,0.18,Rumble,0.35,Alistar,0.1,Kalista,0.23,Ashe,0.18
Ashe,0.3,Nidalee,0.18,Maokai,0.28,Renekton,0.45,Sejuani,0.23,Kalista,0.13
Leona,0.23,Leona,0.15,Kalista,0.2,Rumble,0.43,Rumble,0.4,Taliyah,0.13
