Champion_a,Overall Ban Rate (%),Champion_b,Blueside Ban Rate (%),Champion_c,Redside Ban Rate (%),Champion_d,Overall Ban Rate Against (%),Champion_e,Blueside Ban Rate Against (%),Champion_f,Redside Ban Rate Against (%)
Rumble,0.46,Kalista,0.23,KSante,0.15,Yone,0.1,Tristana,0.33,Renekton,0.33
Ashe,0.36,Ashe,0.31,Corki,0.15,Nidalee,0.1,Senna,0.28,Tristana,0.21
Vi,0.31,Alistar,0.23,Rumble,0.31,Rakan,0.1,Leona,0.26,Senna,0.21
Alistar,0.28,Vi,0.23,Kalista,0.13,Renekton,0.59,Corki,0.23,Leona,0.15
Nidalee,0.23,Rumble,0.15,Tristana,0.1,Rumble,0.36,Rumble,0.36,Maokai,0.15
