Champion_a,Overall Ban Rate (%),Champion_b,Blueside Ban Rate (%),Champion_c,Redside Ban Rate (%),Champion_d,Overall Ban Rate Against (%),Champion_e,Blueside Ban Rate Against (%),Champion_f,Redside Ban Rate Against (%)
Rumble,0.47,Renekton,0.28,Leona,0.14,Rakan,0.19,Senna,0.33,Nidalee,0.22
Ashe,0.39,Sejuani,0.17,Vi,0.14,Kalista,0.19,Zyra,0.31,Senna,0.19
Vi,0.36,Tristana,0.17,Rumble,0.47,Renekton,0.17,Corki,0.31,Zyra,0.17
Alistar,0.28,Alistar,0.17,Vi,0.22,Nidalee,0.58,Ezreal,0.28,Kalista,0.11
Kalista,0.28,Ashe,0.17,Ashe,0.22,Rumble,0.44,Rumble,0.39,Lucian,0.11
